T2   0.804007 0.00804007
T4   0.562749 0.00562749
T6   0.419563 0.00419563
T8   0.334581 0.00334581
T10   0.284144 0.00284144
T12   0.25421 0.0025421
T14   0.236444 0.00236444
T16   0.2259 0.002259
