T2   1.08978 0.0108978
T4   0.856623 0.00856623
T6   0.709784 0.00709784
T8   0.617305 0.00617305
T10   0.559061 0.00559061
T12   0.52238 0.0052238
T14   0.499277 0.00499277
T16   0.484728 0.00484728
