T2   0.776422 0.00776422
T4   0.526431 0.00526431
T6   0.400686 0.00400686
T8   0.337436 0.00337436
T10   0.305622 0.00305622
T12   0.289619 0.00289619
T14   0.28157 0.0028157
T16   0.277521 0.00277521
