T2   0.576759 0.00576759
T4   0.340307 0.00340307
T6   0.249603 0.00249603
T8   0.214809 0.00214809
T10   0.201462 0.00201462
T12   0.196342 0.00196342
T14   0.194378 0.00194378
T16   0.193625 0.00193625
