T2   0.536191 0.00536191
T4   0.292803 0.00292803
T6   0.1909 0.001909
T8   0.148235 0.00148235
T10   0.130372 0.00130372
T12   0.122893 0.00122893
T14   0.119761 0.00119761
T16   0.11845 0.0011845
