T2   0.953057 0.00953057
T4   0.7455 0.007455
T6   0.598961 0.00598961
T8   0.495502 0.00495502
T10   0.422459 0.00422459
T12   0.370889 0.00370889
T14   0.334479 0.00334479
T16   0.308774 0.00308774
