T2   1.08392 0.0108392
T4   0.87603 0.0087603
T6   0.729425 0.00729425
T8   0.626037 0.00626037
T10   0.553126 0.00553126
T12   0.501708 0.00501708
T14   0.465447 0.00465447
T16   0.439875 0.00439875
