T2   0.582678 0.00582678
T4   0.335586 0.00335586
T6   0.198715 0.00198715
T8   0.122899 0.00122899
T10   0.0809031 0.000809031
T12   0.0576403 0.000576403
T14   0.0447545 0.000447545
T16   0.0376167 0.000376167
