T2   0.605494 0.00605494
T4   0.358622 0.00358622
T6   0.248992 0.00248992
T8   0.200308 0.00200308
T10   0.178689 0.00178689
T12   0.169088 0.00169088
T14   0.164825 0.00164825
T16   0.162932 0.00162932
