T2   0.827351 0.00827351
T4   0.597774 0.00597774
T6   0.450177 0.00450177
T8   0.355286 0.00355286
T10   0.294279 0.00294279
T12   0.255058 0.00255058
T14   0.229842 0.00229842
T16   0.21363 0.0021363
