T2   0.731582 0.00731582
T4   0.493546 0.00493546
T6   0.400564 0.00400564
T8   0.364244 0.00364244
T10   0.350056 0.00350056
T12   0.344515 0.00344515
T14   0.34235 0.0034235
T16   0.341504 0.00341504
