T2   0.809512 0.00809512
T4   0.611691 0.00611691
T6   0.467592 0.00467592
T8   0.362627 0.00362627
T10   0.286168 0.00286168
T12   0.230473 0.00230473
T14   0.189903 0.00189903
T16   0.160351 0.00160351
