T2   0.737768 0.00737768
T4   0.529415 0.00529415
T6   0.382719 0.00382719
T8   0.279433 0.00279433
T10   0.206713 0.00206713
T12   0.155512 0.00155512
T14   0.119463 0.00119463
T16   0.0940815 0.000940815
