T2   0.746164 0.00746164
T4   0.550792 0.00550792
T6   0.407442 0.00407442
T8   0.302263 0.00302263
T10   0.22509 0.0022509
T12   0.168466 0.00168466
T14   0.12692 0.0012692
T16   0.0964368 0.000964368
