T2   0.842693 0.00842693
T4   0.623375 0.00623375
T6   0.4753 0.004753
T8   0.375325 0.00375325
T10   0.307825 0.00307825
T12   0.262252 0.00262252
T14   0.231482 0.00231482
T16   0.210708 0.00210708
