T2   0.919685 0.00919685
T4   0.675048 0.00675048
T6   0.534814 0.00534814
T8   0.454427 0.00454427
T10   0.408347 0.00408347
T12   0.381933 0.00381933
T14   0.366791 0.00366791
T16   0.358111 0.00358111
