T2   0.829708 0.00829708
T4   0.607707 0.00607707
T6   0.459559 0.00459559
T8   0.360696 0.00360696
T10   0.294722 0.00294722
T12   0.250695 0.00250695
T14   0.221315 0.00221315
T16   0.201709 0.00201709
