T2   0.513942 0.00513942
T4   0.265316 0.00265316
T6   0.150217 0.00150217
T8   0.0969337 0.000969337
T10   0.0722667 0.000722667
T12   0.0608474 0.000608474
T14   0.0555609 0.000555609
T16   0.0531136 0.000531136
