SN112EK42.5 1.05323 0.0132307
SN112EK47.5 1.03317 0.0122375
SN112EK52.5 1.0164 0.01629
SN112EK57.5 1.00334 0.016295
SN112EK62.5 0.993981 0.0253164
SN112EK67.5 0.98391 0.0256414
SN112EK72.5 0.97313 0.0302543
SN112EK77.5 0.963935 0.0303739
SN112EK82.5 0.956328 0.033438
SN112EK87.5 0.950287 0.0447221
SN124EK42.5 1.3982 0.0196192
SN124EK47.5 1.4094 0.017044
SN124EK52.5 1.42699 0.0264293
SN124EK57.5 1.44416 0.0265775
SN124EK62.5 1.46091 0.0385753
SN124EK67.5 1.47551 0.0385439
SN124EK72.5 1.48796 0.0487405
SN124EK77.5 1.50397 0.047954
SN124EK82.5 1.52352 0.05304
SN124EK87.5 1.53984 0.0717244
DREK12.5 1.14876 0.008104
DREK17.5 1.17184 0.00748549
DREK22.5 1.19948 0.00962618
DREK27.5 1.2295 0.00888314
DREK32.5 1.26189 0.0117362
DREK37.5 1.29475 0.0129071
DREK42.5 1.32809 0.0194425
DREK47.5 1.36505 0.0191797
DREK52.5 1.40563 0.03242
DREK60.0 1.45753 0.0382972
DREK70.0 1.52102 0.0507582
DREK80.0 1.58848 0.0714279
DREK87.5 1.63776 0.0928745
