T2   0.562101 0.00562101
T4   0.323684 0.00323684
T6   0.230134 0.00230134
T8   0.193427 0.00193427
T10   0.179024 0.00179024
T12   0.173372 0.00173372
T14   0.171155 0.00171155
T16   0.170285 0.00170285
