T2   1.12642 0.0112642
T4   0.925855 0.00925855
T6   0.78098 0.0078098
T8   0.67633 0.0067633
T10   0.600736 0.00600736
T12   0.546132 0.00546132
T14   0.506688 0.00506688
T16   0.478196 0.00478196
