T2   0.958243 0.00958243
T4   0.764197 0.00764197
T6   0.621273 0.00621273
T8   0.516003 0.00516003
T10   0.438467 0.00438467
T12   0.381358 0.00381358
T14   0.339295 0.00339295
T16   0.308313 0.00308313
