T2   0.862503 0.00862503
T4   0.615707 0.00615707
T6   0.478339 0.00478339
T8   0.401878 0.00401878
T10   0.35932 0.0035932
T12   0.335632 0.00335632
T14   0.322447 0.00322447
T16   0.315108 0.00315108
