T2   1.01018 0.0101018
T4   0.764949 0.00764949
T6   0.625396 0.00625396
T8   0.545982 0.00545982
T10   0.500789 0.00500789
T12   0.475072 0.00475072
T14   0.460436 0.00460436
T16   0.452108 0.00452108
