T2   0.877857 0.00877857
T4   0.667449 0.00667449
T6   0.520378 0.00520378
T8   0.41758 0.0041758
T10   0.345726 0.00345726
T12   0.295501 0.00295501
T14   0.260396 0.00260396
T16   0.235858 0.00235858
