T2   0.885649 0.00885649
T4   0.662437 0.00662437
T6   0.514298 0.00514298
T8   0.415982 0.00415982
T10   0.350733 0.00350733
T12   0.307428 0.00307428
T14   0.278689 0.00278689
T16   0.259615 0.00259615
