proton12.5	4.047504	0.007950
proton17.5	3.870402	0.007760
proton22.5	3.310551	0.007174
proton27.5	2.788875	0.006580
proton32.5	2.305375	0.005979
proton37.5	1.899711	0.005431
proton42.5	1.571883	0.004937
proton47.5	1.301278	0.004496
proton52.5	1.087894	0.004110
proton57.5	0.906875	0.003754
proton62.5	0.758219	0.003431
proton67.5	0.632243	0.003135
proton72.5	0.528946	0.002865
proton77.5	0.442055	0.002621
proton82.5	0.371570	0.002402
proton87.5	0.310879	0.002198
neutron12.5	5.688172	0.009427
neutron17.5	5.126660	0.008914
neutron22.5	4.120637	0.007983
neutron27.5	3.263699	0.007105
neutron32.5	2.555848	0.006279
neutron37.5	1.983543	0.005539
neutron42.5	1.546785	0.004883
neutron47.5	1.203570	0.004317
neutron52.5	0.953899	0.003838
neutron57.5	0.749180	0.003405
neutron62.5	0.589414	0.003016
neutron67.5	0.462000	0.002675
neutron72.5	0.366937	0.002381
neutron77.5	0.289383	0.002117
neutron82.5	0.229336	0.001882
neutron87.5	0.180871	0.001674
