T2   1.01062 0.0101062
T4   0.819455 0.00819455
T6   0.677505 0.00677505
T8   0.572097 0.00572097
T10   0.493826 0.00493826
T12   0.435704 0.00435704
T14   0.392545 0.00392545
T16   0.360497 0.00360497
