T2   0.771162 0.00771162
T4   0.562536 0.00562536
T6   0.415787 0.00415787
T8   0.312563 0.00312563
T10   0.239955 0.00239955
T12   0.188882 0.00188882
T14   0.152957 0.00152957
T16   0.127687 0.00127687
