proton12.5	3.850817	0.007757
proton17.5	3.583844	0.007463
proton22.5	3.002687	0.006828
proton27.5	2.479781	0.006202
proton32.5	2.015125	0.005586
proton37.5	1.624094	0.005017
proton42.5	1.306687	0.004496
proton47.5	1.045976	0.004026
proton52.5	0.841961	0.003609
proton57.5	0.674273	0.003233
proton62.5	0.542914	0.002898
proton67.5	0.433121	0.002590
proton72.5	0.344894	0.002309
proton77.5	0.272336	0.002053
proton82.5	0.215445	0.001824
proton87.5	0.169281	0.001619
neutron12.5	4.911121	0.008758
neutron17.5	4.344594	0.008203
neutron22.5	3.460437	0.007312
neutron27.5	2.721761	0.006488
neutron32.5	2.128566	0.005729
neutron37.5	1.650586	0.005052
neutron42.5	1.287820	0.004456
neutron47.5	1.000855	0.003936
neutron52.5	0.789691	0.003491
neutron57.5	0.619125	0.003095
neutron62.5	0.489156	0.002748
neutron67.5	0.382773	0.002433
neutron72.5	0.299976	0.002151
neutron77.5	0.233547	0.001901
neutron82.5	0.183484	0.001682
neutron87.5	0.142832	0.001486
