T2   0.487781 0.00487781
T4   0.239165 0.00239165
T6   0.124103 0.00124103
T8   0.0708509 0.000708509
T10   0.0462055 0.000462055
T12   0.0347994 0.000347994
T14   0.0295206 0.000295206
T16   0.0270775 0.000270775
