T2   0.982135 0.00982135
T4   0.749969 0.00749969
T6   0.602882 0.00602882
T8   0.509695 0.00509695
T10   0.450658 0.00450658
T12   0.413255 0.00413255
T14   0.389559 0.00389559
T16   0.374546 0.00374546
