T2   0.671758 0.00671758
T4   0.437994 0.00437994
T6   0.291325 0.00291325
T8   0.199303 0.00199303
T10   0.141565 0.00141565
T12   0.10534 0.0010534
T14   0.0826113 0.000826113
T16   0.0683509 0.000683509
