T2   0.640299 0.00640299
T4   0.402727 0.00402727
T6   0.257456 0.00257456
T8   0.168626 0.00168626
T10   0.114308 0.00114308
T12   0.0810933 0.000810933
T14   0.0607833 0.000607833
T16   0.0483641 0.000483641
