T2   0.99036 0.0099036
T4   0.780456 0.00780456
T6   0.633473 0.00633473
T8   0.53055 0.0053055
T10   0.458479 0.00458479
T12   0.408012 0.00408012
T14   0.372673 0.00372673
T16   0.347927 0.00347927
