T2   0.960097 0.00960097
T4   0.763736 0.00763736
T6   0.620078 0.00620078
T8   0.514977 0.00514977
T10   0.438086 0.00438086
T12   0.381832 0.00381832
T14   0.340677 0.00340677
T16   0.310567 0.00310567
