T2   0.787121 0.00787121
T4   0.544122 0.00544122
T6   0.442955 0.00442955
T8   0.400836 0.00400836
T10   0.383301 0.00383301
T12   0.376001 0.00376001
T14   0.372961 0.00372961
T16   0.371696 0.00371696
