T2   1.07715 0.0107715
T4   0.870799 0.00870799
T6   0.724511 0.00724511
T8   0.620806 0.00620806
T10   0.547287 0.00547287
T12   0.495169 0.00495169
T14   0.458221 0.00458221
T16   0.432028 0.00432028
