T2   0.826015 0.00826015
T4   0.589823 0.00589823
T6   0.443973 0.00443973
T8   0.353909 0.00353909
T10   0.298295 0.00298295
T12   0.263952 0.00263952
T14   0.242746 0.00242746
T16   0.22965 0.0022965
