T2   0.657085 0.00657085
T4   0.414729 0.00414729
T6   0.272361 0.00272361
T8   0.18873 0.0018873
T10   0.139603 0.00139603
T12   0.110744 0.00110744
T14   0.093791 0.00093791
T16   0.0838325 0.000838325
