proton12.5	5.504855	0.009270
proton17.5	4.804988	0.008622
proton22.5	3.775121	0.007632
proton27.5	2.946042	0.006752
proton32.5	2.317754	0.005980
proton37.5	1.816175	0.005303
proton42.5	1.441308	0.004718
proton47.5	1.140895	0.004204
proton52.5	0.914934	0.003762
proton57.5	0.730406	0.003365
proton62.5	0.587313	0.003014
proton67.5	0.469629	0.002698
proton72.5	0.377356	0.002416
proton77.5	0.303125	0.002169
proton82.5	0.246938	0.001955
proton87.5	0.199297	0.001757
neutron12.5	7.049879	0.010487
neutron17.5	6.008360	0.009632
neutron22.5	4.608485	0.008421
neutron27.5	3.500227	0.007352
neutron32.5	2.683586	0.006425
neutron37.5	2.045664	0.005622
neutron42.5	1.586461	0.004943
neutron47.5	1.226504	0.004356
neutron52.5	0.965793	0.003861
neutron57.5	0.756512	0.003422
neutron62.5	0.598660	0.003041
neutron67.5	0.471453	0.002702
neutron72.5	0.374890	0.002407
neutron77.5	0.296336	0.002142
neutron82.5	0.235789	0.001909
neutron87.5	0.187340	0.001704
