T2   0.903827 0.00903827
T4   0.68344 0.0068344
T6   0.535322 0.00535322
T8   0.435773 0.00435773
T10   0.368868 0.00368868
T12   0.323902 0.00323902
T14   0.293681 0.00293681
T16   0.273369 0.00273369
