T2   0.933871 0.00933871
T4   0.706033 0.00706033
T6   0.558196 0.00558196
T8   0.462269 0.00462269
T10   0.400025 0.00400025
T12   0.359637 0.00359637
T14   0.33343 0.0033343
T16   0.316426 0.00316426
