T2   1.13986 0.0113986
T4   0.923084 0.00923084
T6   0.775183 0.00775183
T8   0.674273 0.00674273
T10   0.605424 0.00605424
T12   0.558449 0.00558449
T14   0.526398 0.00526398
T16   0.504531 0.00504531
