T2   0.688881 0.00688881
T4   0.439278 0.00439278
T6   0.309504 0.00309504
T8   0.242032 0.00242032
T10   0.206952 0.00206952
T12   0.188714 0.00188714
T14   0.179231 0.00179231
T16   0.174301 0.00174301
