T2   1.00578 0.0100578
T4   0.757916 0.00757916
T6   0.622528 0.00622528
T8   0.548577 0.00548577
T10   0.508184 0.00508184
T12   0.486121 0.00486121
T14   0.474069 0.00474069
T16   0.467487 0.00467487
