T2   0.829179 0.00829179
T4   0.58301 0.0058301
T6   0.475161 0.00475161
T8   0.427912 0.00427912
T10   0.407212 0.00407212
T12   0.398143 0.00398143
T14   0.39417 0.0039417
T16   0.392429 0.00392429
