T2   0.584128 0.00584128
T4   0.334908 0.00334908
T6   0.217262 0.00217262
T8   0.161726 0.00161726
T10   0.13551 0.0013551
T12   0.123135 0.00123135
T14   0.117293 0.00117293
T16   0.114535 0.00114535
