T2   1.15395 0.0115395
T4   0.939743 0.00939743
T6   0.792114 0.00792114
T8   0.690369 0.00690369
T10   0.620247 0.00620247
T12   0.571919 0.00571919
T14   0.538612 0.00538612
T16   0.515657 0.00515657
