proton12.5	4.265512	0.008162
proton17.5	4.059265	0.007944
proton22.5	3.415890	0.007283
proton27.5	2.816660	0.006607
proton32.5	2.261574	0.005914
proton37.5	1.805312	0.005289
proton42.5	1.447875	0.004732
proton47.5	1.156121	0.004233
proton52.5	0.930051	0.003793
proton57.5	0.749000	0.003409
proton62.5	0.612969	0.003082
proton67.5	0.495871	0.002772
proton72.5	0.397707	0.002480
proton77.5	0.318902	0.002224
proton82.5	0.259457	0.002005
proton87.5	0.209593	0.001803
neutron12.5	5.715738	0.009450
neutron17.5	5.251520	0.009024
neutron22.5	4.260808	0.008122
neutron27.5	3.390961	0.007240
neutron32.5	2.641976	0.006382
neutron37.5	2.043254	0.005621
neutron42.5	1.594793	0.004959
neutron47.5	1.235894	0.004372
neutron52.5	0.966559	0.003861
neutron57.5	0.753950	0.003417
neutron62.5	0.598066	0.003039
neutron67.5	0.469656	0.002696
neutron72.5	0.368719	0.002385
neutron77.5	0.289094	0.002116
neutron82.5	0.230781	0.001889
neutron87.5	0.182379	0.001680
