 nuggets \ scales 
0.00158489	917.102	917.11	956.487	1169.76	1483.2	1940.35	2421.56	2761.53	2923.94	2941.13	2860.61	2730.82	2598.4	2503.73	2470.44	2499.14	2574.09	2675.74	2788.59	2902.7	3012.42	3114.82	3208.55	3293.21	3368.87	3435.94	3495.03	3546.81	3592.02	3631.37	3665.51	
0.00251189	917.102	917.11	956.453	1169.58	1482.87	1939.81	2421.05	2761.89	2927.08	2951.12	2885.25	2782.35	2690.17	2642.2	2649.42	2703.1	2786.62	2884.92	2987.59	3088.27	3183.34	3270.84	3349.89	3420.25	3482.17	3536.17	3582.95	3623.27	3657.83	3687.3	3712.24	
0.00398107	917.102	917.11	956.398	1169.29	1482.34	1938.96	2420.23	2762.4	2931.72	2965.49	2918.87	2847.3	2795.06	2785.33	2819.02	2884.5	2968.17	3059.48	3151.36	3239.39	3320.93	3394.57	3459.78	3516.67	3565.74	3607.7	3643.31	3673.29	3698.28	3718.85	3735.45	
0.00630957	917.102	917.11	956.311	1168.83	1481.51	1937.6	2418.91	2763.05	2938.33	2985.23	2961.96	2923.16	2905.76	2923.2	2971.62	3040.67	3120.43	3203.4	3284.37	3359.96	3428.24	3488.39	3540.4	3584.74	3622.1	3653.24	3678.87	3699.62	3716.02	3728.56	3737.62	
0.01	917.102	917.11	956.174	1168.12	1480.19	1935.46	2416.76	2763.73	2947.2	3010.58	3013.01	3004.66	3014.05	3048.52	3103.7	3171.81	3245.59	3319.26	3388.78	3451.69	3506.89	3554.21	3594.04	3627.06	3653.99	3675.5	3692.2	3704.62	3713.21	3718.37	3720.47	
0.0158489	917.102	917.11	955.959	1166.99	1478.11	1932.06	2413.26	2764.08	2958.06	3040.38	3068.17	3085.06	3112.98	3157.04	3214.15	3278.62	3344.75	3408.03	3465.55	3515.89	3558.68	3594.23	3623.11	3645.99	3663.49	3676.2	3684.6	3689.12	3690.15	3688.03	3683.07	
0.0251189	917.102	917.11	955.623	1165.23	1474.83	1926.68	2407.46	2763.13	2969.49	3071.4	3121.59	3157.42	3197.19	3245.93	3301.83	3360.49	3417.5	3469.65	3515.23	3553.65	3585.04	3609.86	3628.69	3642.09	3650.56	3654.55	3654.47	3650.68	3643.5	3633.24	3620.18	
0.0398107	917.102	917.109	955.103	1162.48	1469.71	1918.2	2397.81	2758.89	2978.27	3098.25	3166.31	3215.38	3262.28	3312.34	3364.56	3415.67	3462.66	3503.63	3537.77	3565.03	3585.7	3600.23	3609.09	3612.71	3611.49	3605.82	3596.04	3582.5	3565.51	3545.35	3522.29	
0.0630957	917.102	917.109	954.306	1158.24	1461.75	1904.88	2381.77	2747.74	2979.07	3113.88	3195.1	3253.03	3303.67	3352.43	3399.04	3441.54	3478.25	3508.25	3531.31	3547.56	3557.29	3560.87	3558.67	3551.07	3538.46	3521.21	3499.71	3474.3	3445.29	3412.97	3377.57	
0.1	917.102	917.109	953.109	1151.81	1449.52	1884.18	2355.41	2724.13	2964.59	3110.28	3200.67	3264.21	3315.96	3361.35	3401.06	3434.38	3460.62	3479.48	3490.96	3495.26	3492.64	3483.47	3468.16	3447.13	3420.85	3389.74	3354.24	3314.71	3271.51	3224.97	3175.37	
0.158489	917.102	917.109	951.363	1142.28	1431.12	1852.62	2313.26	2680.67	2926.29	3079.09	3175.56	3242.13	3292.85	3333.35	3365.22	3388.68	3403.68	3410.27	3408.59	3398.94	3381.74	3357.5	3326.76	3290.09	3248.08	3201.24	3150.11	3095.15	3036.85	2975.65	2912.02	
0.251189	917.102	917.108	948.917	1128.63	1404.21	1805.95	2248.82	2609	2855.31	3011.97	3112.01	3179.46	3227.41	3261.68	3284.56	3296.87	3299	3291.32	3274.27	3248.46	3214.59	3173.43	3125.75	3072.35	3013.95	2951.3	2885.1	2816.02	2744.73	2671.87	2598.06	
0.398107	917.102	917.108	945.682	1110.04	1366.61	1740.11	2155.93	2501.56	2743.8	2901.31	3002.62	3068.99	3112.47	3138.98	3151.21	3150.51	3137.81	3113.96	3079.95	3036.82	2985.69	2927.67	2863.85	2795.29	2723	2647.94	2571.01	2493.08	2414.91	2337.23	2260.65	
0.630957	917.102	917.107	941.716	1086.4	1317.27	1653.04	2031.36	2354.09	2586.91	2741.85	2841.87	2905.02	2942.17	2959.13	2959.06	2943.96	2915.5	2875.28	2824.91	2765.99	2700.11	2628.75	2553.34	2475.17	2395.46	2315.26	2235.53	2157.08	2080.59	2006.59	1935.51	
1	917.102	917.106	937.278	1058.82	1257.65	1546.99	1877.84	2168.83	2385.84	2533.78	2629.25	2686.74	2715.72	2721.97	2709.22	2680.36	2637.91	2584.27	2521.69	2452.3	2378.04	2300.66	2221.73	2142.57	2064.33	1987.92	1914.06	1843.32	1776.07	1712.55	1652.9	
