 nuggets \ scales 
	0.001	0.003	0.005	0.007	0.009	0.011	0.013	0.015	0.017	0.019	0.021	0.023	0.025	0.027	0.029	0.031	0.033	0.035	0.037	0.039	0.041	0.043	0.045	0.047	0.049	
0.005	9985.36	9985.36	9985.36	9985.36	9985.36	9985.36	9985.36	9985.36	9985.36	9985.36	9985.36	9985.36	9985.36	9985.36	9985.36	9985.36	9985.36	9985.36	9985.36	9985.36	9985.36	9985.36	9985.36	9985.36	9985.36	
1.005	7543.21	6656.47	6310.25	6108.51	5971.38	5870.32	5792.04	5729.35	5677.94	5635.02	5598.71	5567.64	5540.83	5517.54	5497.19	5479.33	5463.59	5449.69	5437.39	5426.48	5416.8	5408.2	5400.58	5393.82	5387.84	
2.005	5177.93	4919.18	4880.9	4879.02	4888.89	4903.83	4921.4	4940.5	4960.58	4981.3	5002.48	5023.96	5045.65	5067.48	5089.4	5111.36	5133.33	5155.27	5177.18	5199.02	5220.79	5242.47	5264.06	5285.53	5306.9	
3.005	4704.5	4845.25	4953.5	5048.36	5137.88	5224.32	5308.37	5390.26	5470.03	5547.73	5623.37	5696.96	5768.55	5838.16	5905.83	5971.62	6035.57	6097.74	6158.17	6216.92	6274.04	6329.6	6383.63	6436.2	6487.35	
4.005	4838.81	5128.67	5367.1	5590.15	5797.83	5990.16	6167.84	6331.92	6483.54	6623.85	6753.9	6874.68	6987.07	7091.86	7189.75	7281.38	7367.31	7448.03	7524	7595.61	7663.22	7727.15	7787.69	7845.09	7899.6	
5.005	5053.91	5591.68	6051.53	6435.19	6755.27	7024.62	7253.66	7450.45	7621.18	7770.61	7902.42	8019.53	8124.24	8218.41	8303.55	8380.88	8451.43	8516.05	8575.46	8630.26	8680.97	8728.03	8771.81	8812.64	8850.83	
6.005	5341.04	6265.66	6911.71	7372.49	7714.96	7978.75	8187.93	8357.77	8498.37	8616.65	8717.53	8804.58	8880.45	8947.17	9006.29	9059.05	9106.41	9149.17	9187.96	9223.32	9255.67	9285.39	9312.78	9338.11	9361.6	
7.005	5760.94	7035.38	7734.25	8167.47	8461.36	8673.61	8834.04	8959.53	9060.37	9143.16	9212.36	9271.05	9321.46	9365.22	9403.58	9437.46	9467.62	9494.63	9518.96	9540.99	9561.04	9579.35	9596.15	9611.62	9625.9	
8.005	6297.78	7752.81	8390.51	8745.44	8971.27	9127.54	9242.1	9329.67	9398.78	9454.72	9500.91	9539.71	9572.76	9601.24	9626.04	9647.84	9667.14	9684.35	9699.8	9713.74	9726.38	9737.9	9748.44	9758.11	9767.03	
9.005	6886.88	8337.39	8864.94	9136.8	9302.52	9414.09	9494.33	9554.8	9602.02	9639.9	9670.97	9696.91	9718.9	9737.77	9754.14	9768.49	9781.16	9792.43	9802.52	9811.61	9819.83	9827.32	9834.15	9840.42	9846.19	
10.005	7457.96	8778.24	9193.13	9395.81	9515.92	9595.38	9651.83	9694.01	9726.71	9752.82	9774.14	9791.87	9806.86	9819.7	9830.81	9840.53	9849.09	9856.7	9863.51	9869.63	9875.16	9880.19	9884.78	9888.99	9892.86	
11.005	7963.72	9098.18	9417.3	9567.59	9654.99	9712.15	9752.45	9782.39	9805.51	9823.9	9838.88	9851.31	9861.8	9870.77	9878.52	9885.29	9891.26	9896.55	9901.28	9905.53	9909.37	9912.86	9916.04	9918.96	9921.64	
12.005	8385.13	9327.06	9571.05	9683.09	9747.43	9789.19	9818.48	9840.16	9856.85	9870.1	9880.88	9889.81	9897.33	9903.76	9909.31	9914.16	9918.42	9922.2	9925.58	9928.62	9931.36	9933.85	9936.12	9938.19	9940.1	
13.005	8723.09	9490.72	9677.8	9762.2	9810.26	9841.28	9862.97	9878.98	9891.29	9901.04	9908.96	9915.52	9921.05	9925.76	9929.83	9933.38	9936.5	9939.27	9941.75	9943.97	9945.97	9947.79	9949.45	9950.97	9952.36	
14.005	8988.26	9608.59	9753.1	9817.49	9853.93	9877.37	9893.71	9905.76	9915.01	9922.33	9928.27	9933.19	9937.33	9940.86	9943.91	9946.56	9948.9	9950.97	9952.82	9954.48	9955.98	9957.34	9958.58	9959.71	9960.75	
