T2   0.852075 0.00852075
T4   0.604581 0.00604581
T6   0.493225 0.00493225
T8   0.443123 0.00443123
T10   0.42058 0.0042058
T12   0.410437 0.00410437
T14   0.405873 0.00405873
T16   0.40382 0.0040382
