T2   1.24936 0.0124936
T4   1.06234 0.0106234
T6   0.92189 0.0092189
T8   0.816422 0.00816422
T10   0.737222 0.00737222
T12   0.677746 0.00677746
T14   0.633083 0.00633083
T16   0.599543 0.00599543
