T2   0.965935 0.00965935
T4   0.778794 0.00778794
T6   0.638304 0.00638304
T8   0.532836 0.00532836
T10   0.453659 0.00453659
T12   0.39422 0.0039422
T14   0.349597 0.00349597
T16   0.316099 0.00316099
