Ang10	-5.27116
Ang11	-4.15198
Ang12	-3.92615
Ang13	-3.99225
Ang14	-4.29842
Ang15	-4.9373
Ang16	-5.55246
Ang17	-6.37646
Ang18	-7.93018
Ang19	-8.04408
Ang20	-8.02185
Ang21	-7.78078
Ang22	-7.85694
Ang23	-8.98883
Ang24	-8.40387
Ang25	-8.46922
Ang26	-9.90359
Ang27	-10.8873
Ang28	-12.0276
Ang29	-13.168
Ang30	-14.3084
Ang31	-15.4487
Ang32	-16.5891
Ang33	-17.7294
Ang34	-18.8698
Ang35	-20.0101
Ang36	-21.1505
Ang37	-22.2909
Ang38	-23.4312
Ang39	-24.5716
Ang40	-25.7119
Ang41	-26.8523
Ang42	-27.9926
Ang43	-29.133
Ang44	-30.2734
Ang45	-31.4137
Ang46	-32.5541
Ang47	-33.6944
Ang48	-34.8348
Ang49	-35.9751
Ang50	-37.1155
Ang51	-38.2559
Ang52	-39.3962
Ang53	-40.5366
Ang54	-41.6769
Ang55	-42.8173
Ang56	-43.9576
Ang57	-45.098
Ang58	-46.2384
Ang59	-47.3787
Ang60	-48.5191
Ang61	-49.6594
Ang62	-50.7998
Ang63	-51.9401
Ang64	-53.0805
Ang65	-54.2209
Ang66	-55.3612
Ang67	-56.5016
Ang68	-57.6419
Ang69	-58.7823
Ang70	-59.9226
Ang71	-61.063
Ang72	-62.2034
Ang73	-63.3437
Ang74	-64.4841
Ang75	-65.6244
Ang76	-66.7648
Ang77	-67.9052
Ang78	-69.0455
Ang79	-70.1859
Ang80	-71.3262
Ang81	-72.4666
Ang82	-73.6069
Ang83	-74.7473
Ang84	-75.8877
Ang85	-77.028
Ang86	-78.1684
Ang87	-79.3087
Ang88	-80.4491
Ang89	-81.5894
Ang90	-82.7298
Ang91	-83.8702
Ang92	-85.0105
Ang93	-86.1509
Ang94	-87.2912
Ang95	-88.4316
Ang96	-89.5719
Ang97	-90.7123
Ang98	-91.8527
Ang99	-92.993
Ang100	-94.1334
Ang101	-95.2737
Ang102	-96.4141
Ang103	-97.5544
Ang104	-98.6948
Ang105	-99.8352
Ang106	-100.976
Ang107	-102.116
Ang108	-103.256
Ang109	-104.397
Ang110	-105.537
Ang111	-106.677
Ang112	-107.818
Ang113	-108.958
Ang114	-110.098
Ang115	-111.239
Ang116	-112.379
Ang117	-113.519
Ang118	-114.66
Ang119	-115.8
Ang120	-116.941
Ang121	-118.081
Ang122	-119.221
Ang123	-120.362
Ang124	-121.502
Ang125	-122.642
Ang126	-123.783
Ang127	-124.923
Ang128	-126.063
Ang129	-127.204
Ang130	-128.344
Ang131	-129.484
Ang132	-130.625
Ang133	-131.765
Ang134	-132.906
Ang135	-134.046
Ang136	-135.186
Ang137	-136.327
Ang138	-137.467
Ang139	-138.607
