T2   0.753406 0.00753406
T4   0.512189 0.00512189
T6   0.368974 0.00368974
T8   0.283945 0.00283945
T10   0.233462 0.00233462
T12   0.203489 0.00203489
T14   0.185693 0.00185693
T16   0.175128 0.00175128
