T2   0.794258 0.00794258
T4   0.572788 0.00572788
T6   0.424645 0.00424645
T8   0.325551 0.00325551
T10   0.259265 0.00259265
T12   0.214926 0.00214926
T14   0.185268 0.00185268
T16   0.165429 0.00165429
