T2   0.981527 0.00981527
T4   0.744657 0.00744657
T6   0.59908 0.0059908
T8   0.509611 0.00509611
T10   0.454625 0.00454625
T12   0.420831 0.00420831
T14   0.400062 0.00400062
T16   0.387298 0.00387298
