T2   0.733231 0.00733231
T4   0.534952 0.00534952
T6   0.390719 0.00390719
T8   0.285801 0.00285801
T10   0.209481 0.00209481
T12   0.153964 0.00153964
T14   0.11358 0.0011358
T16   0.0842041 0.000842041
