T2   0.794103 0.00794103
T4   0.587501 0.00587501
T6   0.441161 0.00441161
T8   0.337504 0.00337504
T10   0.264082 0.00264082
T12   0.212075 0.00212075
T14   0.175238 0.00175238
T16   0.149145 0.00149145
