T2   1.07099 0.0107099
T4   0.863846 0.00863846
T6   0.717393 0.00717393
T8   0.613846 0.00613846
T10   0.540636 0.00540636
T12   0.488874 0.00488874
T14   0.452276 0.00452276
T16   0.426401 0.00426401
