T2   0.447636 0.00447636
T4   0.200671 0.00200671
T6   0.0907947 0.000907947
T8   0.0419098 0.000419098
T10   0.0201605 0.000201605
T12   0.010484 0.00010484
T14   0.00617892 6.17892e-05
T16   0.00426354 4.26354e-05
