T2   0.88694 0.0088694
T4   0.639548 0.00639548
T6   0.528485 0.00528485
T8   0.478625 0.00478625
T10   0.456241 0.00456241
T12   0.446192 0.00446192
T14   0.44168 0.0044168
T16   0.439655 0.00439655
